job_title,company,experience_years,salary_min,remote_friendly,python_skill,django_skill,aws_skill
"Product Manager, Oncology",Saphetor,3.0,100000,1,0,0,0
Senior Full Stack Developer (React/Django),Global BrainForce,7.0,100000,1,1,1,0
Sr. Site Reliability Engineer (SRE),ZORA,5.0,170000,1,1,0,0
Senior Data Engineer,GR8 Tech,5.0,100000,1,1,0,1
Backend API,Mobiik,18.0,100000,1,0,0,0
Head of Demand & Commercial Growth,Filecoin Foundation,12.0,100000,1,0,0,0
Lease Accounting Implementation Specialist,Arvexi,3.0,100000,1,0,0,0
Executive Assistant / Corporate Administrator,Canonical,5.0,200000,1,1,0,0
RCM - Team Lead,Keplr Vision,5.0,100000,1,0,0,0
Graphic Designer - 3D Animation (Job Req #2026-093),Ross Video,2.0,100000,1,0,0,0
API Integration Solutions Manager,OEC,5.0,100000,1,0,0,1
Software Engineer (Mainframe),UniGroup,3.0,100000,1,0,0,0
AI Tutor - Software Engineer Specialist,x.ai,3.0,100000,1,1,0,1
Account Executive (Sales Manager),TechBiz Global,5.0,100000,1,0,0,0
Talent Sourcer,TechBiz Global,1.0,100000,1,0,0,0
Senior Build/Release/CI Engineer,Brave,20.0,100000,1,1,0,1
Data Analyst II Healthcare Analytics,Centene Corporation,2.0,56200,1,1,0,0
Human Resources - Labor Compliance Specialist,Franklin Energy,5.0,100000,1,0,0,1
"Data Analyst (SQL, Python, Streamlit) 4-MO Contract",Outrider,3.0,100000,1,1,0,0
Technical Project Manager (100% remote Worldwide),Tether Operations Limited,5.0,100000,1,1,0,0
Electronics & PCB Design Experts,G2i,3.0,100000,1,0,0,0
Lead Instructor: Software Development,Correlation One,5.0,100000,1,1,1,1
Graphic Design Expert (SME) - Freelance Project,Invisible Technologies,5.0,100000,1,0,0,0
Senior Product Designer,Automattic,5.0,95000,1,1,0,0
"Manager, Order Monitoring & Management",Comcast,5.0,61303,1,1,0,1
Senior Solutions Architect,Judi Health,7.0,125000,1,0,0,1
Sales Executive,North American Bancard,3.0,60000,1,0,0,0
Head of Content,Gnosis,,200000,1,0,0,0
"Manager, Customer Success APAC",SecurityScorecard,5.0,25000,1,1,0,0
"Coding Denial and Resolution Specialist (FT- 1.0 FTE, Day Shift, Remote)",Workday,3.0,100000,1,0,0,0
