job_title,company,experience_years,salary_min,remote_friendly,financial_analysis,risk_management,accounting
Offshore Recruiter / Recruitment Specialist,KDCI,5,100000,1,0,0,1
klantenservicemedewerker,Onepilot,3,100000,1,0,0,0
Marketing Director - Video Games,Mob Entertainment,4,100000,1,0,0,1
GoHighLevel (GHL) Automation Specialist,Jumpfactor,3,100000,1,1,0,1
Social Media Manager,AutoDS,2,100000,1,0,0,1
Technical Proposal & Documentation Specialist,KDCI,3,100000,1,0,0,1
Research Engineer Intern (Video/Multimodal LLM),Tether Operations Limited,1,100000,1,0,0,0
Senior Account Manager / Head of Account Managers,Ebaka Games,4,100000,1,0,0,1
AI Video Research Engineer Intern (100% remote Worldwide),Tether Operations Limited,1,100000,1,0,0,0
"Director, Account Management",ecoATM Gazelle,10,160000,1,1,1,1
"Manager, Regional Marketing",Papa Johns,5,100000,1,1,0,1
Customer Support Agent,Gusti Leder GmbH,1,100000,1,0,0,1
Communications Specialist,Postmedia Network Inc.,5,65000,1,0,0,0
"Social Media Video Editor & Motion Graphics Designer - Freelance, Remote",Magic,5,100000,1,0,1,1
Adjuster General,Sedgwick,5,33000,1,0,1,1
Operations and Chief People Manager,Allies4Outcomes,10,100000,1,0,0,1
Product Manager AI Personalization,Trafilea,5,100000,1,1,0,1
QA Officer Customer Support,Growe,1,100000,1,0,0,1
Video Editor,Agencyhires,2,100000,1,0,0,1
Senior Manager - Asset Management Reporting (100% Remote),Tether Operations Limited,12,100000,1,1,0,0
Client Success Manager,Agencyhires,3,100000,1,0,0,1
Product UI/UX Designer,AutoDS,3,100000,1,0,0,0
AI Collaboration Specialist,Corpay,2,800000,1,0,1,1
VIP Customer Support Representative,Growe,5,100000,1,0,0,1
Email Marketing Specialist (Klaviyo Manager),Agencyhires,2,100000,1,0,0,1
