job_title,company,experience_years,salary_min,remote_friendly,medical_license,patient_care,clinical_experience
"Vice President, Media & Public Relations",Centene Corporation,9.0,188900,1,0,0,0
Provider Enrollment Associate- Remote,Med-Metrix,2.0,100000,1,0,1,0
Physician Services Care Advocate,Optimal Care,2.0,100000,1,1,1,1
Senior Associate - Monitoring and Evaluation,MCD Global Health,3.0,55000,1,0,0,0
Benefits and Leave Specialist,LifeStance Health,3.0,65000,1,1,1,1
Chief of Staff,Wave Mobile Money,7.0,10000,1,0,0,0
Accounting Manager,Hometap,8.0,130000,1,0,0,0
"Project Manager, Product",Adaptive Biotechnologies,5.0,101600,1,0,1,1
Service Line Specialist Revenue Management,Geisinger,3.0,100000,1,1,1,1
Quality Improvement Specialist (Non Clinical),Centene Corporation,3.0,56200,1,1,0,1
"Specialist, Strategic Membership & Partnership",GTIA Human Resources,3.0,114000,1,0,0,0
Freelance Graphic Designer,Interdependence Public Relations,3.0,100000,1,0,0,0
Team Lead Media Buyer,SpeedlineHub,2.0,100000,1,0,0,0
Technical Account Management Analyst,EDO,3.0,50000,1,0,0,0
Remote Psychiatric Nurse Practitioner - Fee For Service,Thriveworks,14.0,130000,1,1,1,1
Manager Pharmacy Revenue Recognition,Geisinger,4.0,100000,1,1,1,1
Scrum Master 2,Humana International Group,1.0,89000,1,0,0,0
Director of Biotech Partnerships,Headlands Research,5.0,100000,1,0,1,1
Director of Revenue Marketing,Medical Informatics Engineering,12.0,160000,1,0,0,1
Financial Services Representative,Penn Foster,3.0,175000,1,0,0,0
Care Navigator - Behavioral Health,Centene Corporation,4.0,100000,1,1,0,1
Associate Product Management Consultant (f/m/x),Product People,3.0,60000,1,0,0,0
"Manager, Financial Planning & Analysis","Project Management Institute, Inc.",8.0,680000,1,0,0,0
Intern Undergraduate IT (Project Management Office),Geisinger,1.0,100000,1,1,1,1
Online Course Facilitator - Dep't of Government,Eastern Kentucky University,3.0,100000,1,0,0,0
Asset & Contracts Manager (m/f/d),EIT Health,,100000,1,0,0,0
Network Risk Analyst,Ipas,5.0,100000,1,0,0,0
Human Resources Associate,Kaplan International,2.0,65000,1,0,0,0
"Senior Engineer, Core Network",Airalo,5.0,100000,1,0,0,0
Workers Compensation Defense Attorney (Remote or Hybrid),The Hanover Insurance Group,170.0,100000,1,1,0,0
Virtual Adult Group Therapist (Evening),Compass Health Center,3.0,47000,1,1,1,1
Senior Provider Enrollment Representative,Sanford Health,2.0,50000,1,0,1,1
Senior Google Ads Specialist,Impact Brands,3.0,100000,1,0,0,0
Luo Language Specialist - Freelance AI Trainer Project,Invisible Technologies,5.0,100000,1,0,0,0
Case Worker,AmerisourceBergen,1.0,41800,1,0,1,1
Global Commodity Senior Manager – Capital Expenditures,"Valmont Industries, Inc.",7.0,99999,1,0,0,0
Sales Enablement & Content Specialist,Path Robotics,1.0,100000,1,0,0,0
Digital Assets Coordinator,Penn Foster,3.0,175000,1,1,0,0
Tutoring Specialist - Freelance AI Trainer Project,Invisible Technologies,3.0,100000,1,0,0,0
"Sr. Manager, Corporate Development (M&A)",Talent Acquisition Team,7.0,100000,1,0,0,0
Supply Chain & Procurement Manager - D2C E-Commerce (m/w/d),edubily GmbH,3.0,100000,1,0,0,0
Intern Undergraduate (Business Intelligence),Geisinger,1.0,100000,1,1,1,1
Psychiatric Nurse Practitioner Residency Program Director,Blackbird Health,3.0,140000,1,1,1,1
"Program Manager II, Onboarding Transformation",Centene Corporation,3.0,100000,1,0,0,0
